node,insert-node_LocalVariable_Block,insert-node_If_Block,insert-node_Assignment_Block,insert-node_Catch_Try,insert-node_Invocation_Block,is_vul,delete-node_Invocation_LocalVariable,delete-node_Parameter_Method,insert-node_Invocation_LocalVariable,insert-node_Parameter_Method,insert-node_FieldRead_ConstructorCall,delete-node_Block_If,insert-node_BinaryOperator_If,delete-node_Invocation_ConstructorCall,insert-node_Invocation_ConstructorCall,delete-node_FieldRead_ConstructorCall,insert-node_Annotation_Parameter,delete-node_Annotation_Parameter,delete-node_TypeAccess_Invocation,insert-node_TypeAccess_Invocation,insert-node_TypeReference_Invocation,delete-node_TypeReference_Invocation,insert-node_VirtualElement_Annotation,delete-node_VirtualElement_Annotation,delete-node_Annotation_Method,delete-node_Catch_Try,delete-node_Invocation_BinaryOperator,insert-node_ConstructorCall_LocalVariable,update-node_TypeAccess_ThisAccess,delete-node_ConstructorCall_LocalVariable,insert-node_VariableRead_Invocation,insert-node_Block_If,insert-node_Annotation_Method,delete-node_Invocation_Block,delete-node_Invocation_Invocation,delete-node_If_Block,insert-node_ConstructorCall_Invocation,delete-node_LocalVariable_Block,delete-node_Invocation_Return,delete-node_VariableRead_Invocation,move-tree_BinaryOperator_LocalVariable,delete-node_Assignment_Block,move-tree_VariableRead_BinaryOperator,insert-node_FieldRead_Return,insert-node_Invocation_Invocation,move-tree_BinaryOperator_Assignment,delete-node_BinaryOperator_If,delete-node_ConstructorCall_Invocation,move-tree_UnaryOperator_BinaryOperator,insert-node_Invocation_Return,delete-node_FieldRead_Return
insert-node_LocalVariable_Block,1.0,0.32529816456037,0.11499312503369254,0.08020207916775897,0.14065891381229925,-0.10157316651741062,0.006784935453367302,-0.013561471298928998,0.0023966581340557984,0.025193139249809985,0.006678062835549104,-0.015498838475304878,-0.004907278616990854,-0.009310046550357911,0.004518417058698661,-0.011912977380639601,-0.01861828286029847,0.009326589569586562,-0.011233442665243766,0.021350206549501274,0.000281430561971152,0.0010898495262005126,0.00274698493495761,-0.008392648711471759,-0.0164350257070943,-0.008506150105720525,0.0013640465855898837,0.030577447864839617,0.0057870209178627246,0.0006960953118494099,0.2978469281641974,0.02730975162658669,-0.0013826193682566505,-0.010321296822804873,0.0002158687459323316,-0.030572934855774773,-0.0054912020168135485,0.09636736222561335,-0.016829428412944523,0.037655271823489024,0.025483489544949438,0.01432355376760075,0.09491466855251347,0.0072166970213323675,0.004936268386409839,0.00686898965191209,-0.012649563501205571,-0.0029213788007476666,0.0006690650976113336,0.008591193793798461,-0.014006205724335042
insert-node_If_Block,0.32529816456037,1.0,0.02247650438859763,0.0133585885566609,-0.06112054315900327,-0.25052304423705607,-0.023451549954348717,-0.02679509582725856,0.0012621601400944875,0.016475360674418814,0.021604642818650065,-0.009954854563522122,0.022413425084708692,-0.016832901953640664,0.0008562214792668508,-0.006780091606691298,0.0021448072640642057,-9.223545999186347e-05,-0.008730194446540255,0.005676131486666686,-0.009106050809941703,0.03498350119633105,-0.006241266126114615,-0.010280370766889561,-0.014658236550232745,0.0020529481351281745,-0.006894860256083159,-0.0028403413693470292,-0.0001824574486975638,-0.011979137896808953,0.08730082545169161,0.007410615125063287,-0.008066084696673954,-0.044030545428801915,-0.008364603271338674,-0.05576821242120935,-0.001406300695312185,0.0038778418910928587,0.0009455469416163923,-0.004887529806433036,-0.007022861480823077,0.0006574426132975136,0.026080264313214894,0.04038143966443247,0.03242436921522989,-0.00970482131769486,-0.02377169310390366,0.01972088317989178,-0.0021896457521935996,0.009342485634569332,-0.007827987674321451
insert-node_Assignment_Block,0.11499312503369254,0.02247650438859763,1.0,-0.004116490071894958,0.015121218161156275,-0.06303859472485368,0.0064993131015251325,-0.0058327502625135485,0.0018256153625427222,0.01116866742576071,0.002723271492171386,-0.01596001090335302,0.009634049809618175,-0.0025274225484534112,0.00915961574803896,-0.003929586601856639,0.01359978317066299,0.01655243033850047,-0.0032493903306337023,0.020680061424842473,0.007018426265387738,0.02223556116748336,0.004130343780526337,-0.0075979845314233276,-0.00594767540249605,0.01624269057135588,0.00017515937154432003,0.0026036596316173625,0.0019403399416963638,0.015827611991567042,0.039305721276637465,0.01072440130723196,-0.0013447215696599194,-0.016686737499945432,-0.0051216657525624916,-0.021204575895599667,-0.00500873673390718,-0.0017196616138125352,-0.016392105729125625,0.022315247438114416,-0.0020919866736558565,0.08494219155961423,0.005571002302814054,-0.005740948158875948,0.022460209064305063,0.006470333347813047,-0.014551664433159738,0.009761110456483913,0.002963058375316901,0.0035319418364527975,-0.0068348060333329975
insert-node_Catch_Try,0.08020207916775897,0.0133585885566609,-0.004116490071894958,1.0,0.02736571448260004,-0.0007354622519428319,0.013757146245006333,0.022994411050408583,-0.008844417244966327,-0.00998618712859829,0.011144490888209726,-0.007231266552454919,-0.00030312574681483324,-0.005211693785525944,-0.004755692680508039,-0.005580747928221126,-0.00411648468397785,-0.003756877271024943,0.002833347392455522,-0.008408794860521271,-0.0032741851042451878,-0.003186698129714239,-0.003756877271024938,-0.0034425447288766483,-0.009477625399581021,-0.005101449047270911,-0.006479510233662338,-0.004047092181347701,-0.0015474451570849546,-0.005156860491719654,0.03894580513176214,0.03569353450522117,-0.009569205865384695,0.00782626670465597,0.014450701028023347,-0.007154431493122166,-0.005879048295812824,0.015028975619137666,-0.007427042913763109,-0.005199552692848449,0.014702312782196952,-0.012713352412888115,0.020078107091703348,-0.0026011464936991965,0.003705249155851468,-0.003359411332208948,-0.0009951590837485873,-0.006069965159137027,-0.003976503201502398,-0.0072312665524549265,-0.0030967588030265687
insert-node_Invocation_Block,0.14065891381229925,-0.06112054315900327,0.015121218161156275,0.02736571448260004,1.0,-0.17583326987074754,-0.01272241583162516,-0.01356147129892907,0.016529563748254004,0.012628985142501822,-0.010065231223744156,-0.02582313801920621,0.0024272350592608933,-0.01881785552743904,-0.011098231761688428,-0.011912977380639582,0.029444402806815963,0.002746984934957618,-0.011233442665243806,0.006504704971442324,-0.00726362471875737,-0.006661569579066381,0.009326589569586591,-0.0012151504548466468,-0.027007403576279013,-0.003650487298481971,-0.006303444058535234,0.030577447864839753,0.014996156687854341,0.01510800653026375,0.02627234670399599,0.006319204278993091,0.035277742668852,-0.040750266981329025,-0.013951071101964621,-0.032592957046517004,0.011387925061687934,0.002386139531994399,0.0032850255775471373,0.006636472183068047,-0.008506150105720504,-0.0016373936981418696,0.018302818187260143,0.007216697021332326,0.017822594733702676,0.006868989651912163,-0.012649563501205528,-0.007010082510681473,0.006887142212958128,-0.00517453893140338,-0.006030460764290065
is_vul,-0.10157316651741062,-0.25052304423705607,-0.06303859472485368,-0.0007354622519428319,-0.17583326987074754,1.0,0.08788826878680772,0.0826941097671402,-0.0897672063963907,-0.0823748284753551,-0.06957105746872684,0.06399761369918891,-0.05491865115327603,0.051408552014309654,-0.051321454322883236,0.05471088369153842,-0.04076623898261409,0.037558779213502314,0.036116185646926285,-0.039053143736823503,0.03401915363209888,-0.03816433486767904,-0.038540053637101966,0.04105740921593939,0.060706073762162444,0.043670568873778626,0.041160668593307276,0.01992861412562493,0.012586312384903948,-0.03722747312391887,-0.03722670103940724,-0.03180785059036814,-0.06979249852816402,0.19008466084462566,0.07626783197936157,0.23031629170867043,0.008222688346196117,0.09218360565164087,0.012294674091823029,0.02779157353657729,0.011156913166580964,0.006233846176611662,0.0031862864069371836,-0.023448691521461076,-0.09867285223801343,0.017468589851844844,0.0626576053731655,-0.01697067366258556,0.01462119683089583,-0.017703607094428118,0.006878183359915998
delete-node_Invocation_LocalVariable,0.006784935453367302,-0.023451549954348717,0.0064993131015251325,0.013757146245006333,-0.01272241583162516,0.08788826878680772,1.0,-0.0013661124385137846,-0.014094474558831439,-0.009427491775077087,-0.00944581578449859,0.015126927981195575,-0.0037512553235182675,-0.008305361838319246,-0.0075786778979915655,0.002574581339825681,-0.006560035222576858,0.027981627904889846,-0.006640285284405459,-0.0057359638550949854,-0.0052177455421332074,-0.005078326188364288,-0.005986964392396746,0.01304162826054846,0.03947856772825325,0.00440451439274499,-0.00042949760317679517,0.2932315798220046,0.08954455727359727,-0.008217979431641273,-0.01721911974138427,0.015759432974624177,0.011788619504593909,0.012085012711532441,0.013559662831405507,0.04442064574564965,0.00152389646651687,0.013623621398655384,0.005471771279183306,-0.0008687653312749315,-0.008129675683364812,-0.009959796170188738,0.0029472975933784932,-0.004145190357239478,-0.00887114222196713,-0.0053535621673002215,0.007460006531734683,0.01143568836838746,-0.006336960554250798,-0.011523755565660628,-0.004934998763082624
delete-node_Parameter_Method,-0.013561471298928998,-0.02679509582725856,-0.0058327502625135485,0.022994411050408583,-0.01356147129892907,0.0826941097671402,-0.0013661124385137846,1.0,-0.0009524478582224621,-0.010580374796299412,-0.009943123764223549,0.02167796399782603,-0.017235271668685936,0.014608406043635658,-0.007977683879097077,-0.009361715689231288,-0.006905411200458827,0.009857238776562003,0.01324391680422656,0.007770424175624893,0.013038087785546992,-0.00534569241641037,-0.0063021690538675006,-0.005774875592612138,0.010066862155089982,0.015293175542801464,0.007961847910517019,0.008217637521394214,-0.0013841907474592264,-0.008650643675980797,-0.00953377328754312,0.005254914250936585,-0.003189892402744757,-0.0004927229466109817,0.006222868710078701,0.02290361483025052,-0.009862115145953709,0.008915955899849169,-0.012458879179754133,0.15894548854441498,-0.008557690868304999,0.00807320737723557,-0.010973832524780444,-0.004363428388677391,-0.003109476856021113,0.030489062609175634,0.011188604476138031,-0.010182378561845071,-0.006670591986699735,-0.012130463946381672,-0.0051948190179769566
insert-node_Invocation_LocalVariable,0.0023966581340557984,0.0012621601400944875,0.0018256153625427222,-0.008844417244966327,0.016529563748254004,-0.0897672063963907,-0.014094474558831439,-0.0009524478582224621,1.0,0.0040540947055717645,-0.009308980392718432,-0.0023463309380391136,-0.00973489154233943,0.00426180086795657,0.019789834002356357,0.0028672686416157745,0.009264933108705239,-0.0059002351318545665,-0.013787137487690507,-0.005432337112523283,-0.0051421594549432795,0.015290292040859813,0.01132672875677184,0.013385820148078325,-0.0010442653573494436,-0.008011906357500492,0.009899133991411877,-0.0063560222353834985,0.006934524757671956,0.41955078307182053,-0.011995404520430927,0.016310685626301082,0.012395843525928457,0.01346866846528834,0.0005058476759328159,-0.022427830962249495,0.0018152502301364986,-0.013643738032377208,-0.002886887211694865,-0.005356100692061064,0.004701369360526297,0.0009282502063958978,-0.009485870113426104,-0.004085141679658113,0.012823101855888674,-0.0052760085929668766,-0.010516964350956143,0.0011722188612491187,-0.006245161126872634,-0.0023463309380391323,-0.004863508644644217
insert-node_Parameter_Method,0.025193139249809985,0.016475360674418814,0.01116866742576071,-0.00998618712859829,0.012628985142501822,-0.0823748284753551,-0.009427491775077087,-0.010580374796299412,0.0040540947055717645,1.0,0.008975229951179576,-0.00481260266621294,-0.012528504293410958,-0.009241696014746264,-0.00843308680469102,-0.009896125522720072,-0.007299603864742964,-0.006661925879058223,-0.0023128474777370034,0.012732671593231626,0.011755981005830354,-0.005650849151454413,-0.006661925879058184,-0.006104532079340961,-0.004502107205675553,-0.009046203263232829,0.0063570834348380045,0.007045708010884392,0.018117117700114746,0.024400887150068287,0.20774059021813257,-0.01261021553083946,0.0013165374169026133,-0.019965359484728794,0.011492664464372181,-0.028051585334467645,0.01904096442192524,0.003848507251973353,0.010239241180543944,0.030908715492936882,-0.009046203263232832,-0.0039686455368678425,-0.012264001638488668,-0.004612512970611005,-0.002133350169563805,-0.005957114826468225,-0.007857633334133663,0.00827020278117944,0.0074218959558924255,0.01921836936880501,-0.005491363204807496
